,name,company,year,Price,kms_driven,fuel_type,Unnamed: 6
743,Tata Indigo eCS,Tata,2016,"1,30,000",150000,Diesel,
744,Chevrolet Beat LS,Chevrolet,2014,"1,89,000",31000,Diesel,
745,Mahindra Xylo E8,Mahindra,2011,"3,65,000",43000,Diesel,
746,Hyundai Eon D,Hyundai,2013,"1,70,000",20000,Petrol,
747,Tata Sumo Gold,Tata,2013,"2,15,000",100000,Petrol,
748,Tata Nano,Tata,2013,60000,7000,Petrol,
749,Hyundai Elite i20,Hyundai,2017,"5,99,999",31000,Petrol,
750,Hyundai i10 Magna,Hyundai,2009,"4,00,000",33000,Petrol,
751,Hyundai Creta,Hyundai,2016,"9,00,000",60000,Diesel,
752,Volkswagen Polo,Volkswagen,2013,"2,99,999",48000,Diesel,
753,Maruti Suzuki Dzire,Maruti,2014,"3,74,999",33000,Petrol,
754,Tata Bolt XM,Tata,2015,"6,00,000",15000,Petrol,
755,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol,
756,Maruti Suzuki Alto,Maruti,2005,"1,00,000",40000,Petrol,
757,Maruti Suzuki Ritz,Maruti,2010,"1,50,000",38000,Diesel,
758,Maruti Suzuki Alto,Maruti,2017,"2,25,000",12500,Petrol,
759,Maruti Suzuki Dzire,Maruti,2009,"2,10,000",42000,Petrol,
760,Hyundai i20 Asta,Hyundai,2014,"4,25,000",31000,Petrol,
761,Maruti Suzuki Swift,Maruti,2008,"1,62,000",60000,Diesel,
762,Tata Indica V2,Tata,2005,60000,80000,Diesel,
763,Mahindra Scorpio VLX,Mahindra,2014,"6,50,000",77000,Diesel,
764,Toyota Innova 2.5,Toyota,2012,"7,50,000",75000,Diesel,
765,Mahindra Xylo E8,Mahindra,2010,"3,75,000",40000,Diesel,
766,Hyundai i20 Magna,Hyundai,2011,"2,30,000",47000,Petrol,
767,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol,
768,Mahindra KUV100,Mahindra,2016,"3,80,000",26500,Petrol,
769,Mahindra KUV100 K8,Mahindra,2019,"5,60,000",2875,Petrol,
770,Datsun Go Plus,Datsun,2016,"2,85,000",13900,Petrol,
771,Ford Endeavor 4x4,Ford,2019,"29,00,000",9000,Diesel,
772,Tata Indica V2,Tata,2005,39999,80000,Diesel,
773,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol,
774,Maruti Suzuki Wagon,Maruti,2016,"3,95,000",20000,Petrol,
775,Maruti Suzuki Swift,Maruti,2008,"1,75,000",58000,Diesel,
776,Maruti Suzuki Alto,Maruti,2019,"4,00,000",1500,Petrol,
777,Toyota Innova 2.5,Toyota,2011,"7,50,000",75000,Diesel,
778,Maruti Suzuki Alto,Maruti,2016,"2,50,000",2450,Petrol,
779,Maruti Suzuki Alto,Maruti,2019,"4,25,000",1625,Petrol,
780,Volkswagen Polo Highline1.2L,Volkswagen,2017,"5,25,000",45000,Petrol,
781,Mahindra Logan,Mahindra,2009,"1,30,000",65000,Diesel,
782,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol,
783,Mahindra Scorpio,Mahindra,2011,"4,75,000",60123,Diesel,
784,Chevrolet Sail 1.2,Chevrolet,2013,"3,00,000",28000,Petrol,
785,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol,
786,Maruti Suzuki Wagon,Maruti,2006,"1,00,000",7000,Petrol,
787,Hyundai Eon,Hyundai,2018,"2,60,000",25000,Petrol,
788,Tata Manza,Tata,2015,"1,00,000",100000,Diesel,
789,Toyota Etios G,Toyota,2013,"2,65,000",42000,Petrol,
790,Hyundai Getz Prime,Hyundai,2009,"1,15,000",20000,Petrol,
791,Toyota Qualis,Toyota,2003,"1,80,000",100000,Diesel,
792,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol,
793,Tata Indica eV2,Tata,2016,50500,91200,Diesel,
794,Honda City 1.5,Honda,2009,"2,70,000",55000,Petrol,
795,Tata Zest XE,Tata,2017,"2,90,000",120000,Diesel,
796,Mahindra Quanto C4,Mahindra,2013,"3,25,000",63000,Diesel,
797,Tata Indigo eCS,Tata,2016,"1,60,000",104000,Diesel,
798,Maruti Suzuki Swift,Maruti,2016,"3,50,000",146000,Diesel,
799,Hyundai Elite i20,Hyundai,2011,"2,90,000",40000,Petrol,
800,Hyundai i20 Select,Hyundai,2011,"2,90,000",40000,Petrol,
801,Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000",100800,Diesel,
802,Maruti Suzuki Dzire,Maruti,2016,"3,25,000",150000,Diesel,
803,Hyundai Elite i20,Hyundai,2018,"5,10,000",2100,Petrol,
804,Honda City VX,Honda,2016,"8,60,000",95000,Petrol,
805,Maruti Suzuki Dzire,Maruti,2016,"4,50,000",2500,Diesel,
806,Hyundai Getz,Hyundai,2006,"1,25,000",80000,Petrol,
807,Mercedes Benz C,Mercedes,2006,"5,00,001",15000,Petrol,
808,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol,
809,Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel,
810,Skoda Fabia,Skoda,2009,"1,10,000",45000,Petrol,
811,Maruti Suzuki Ritz,Maruti,2011,"2,70,000",50000,Petrol,
812,Tata Indica V2,Tata,2009,"1,10,000",30000,Diesel,
813,Toyota Corolla Altis,Toyota,2009,"3,00,000",132000,Petrol,
814,Tata Zest XM,Tata,2018,"2,60,000",27000,Diesel,
815,Mahindra Quanto C8,Mahindra,2013,"3,90,000",40000,Diesel,
